,size,density,time
0,20,0.1,0.00010395050048828125
1,20,0.3,0.00011610984802246094
2,20,0.5,8.320808410644531e-05
3,20,0.7,0.00011181831359863281
4,20,0.9,0.00011277198791503906
5,30,0.1,0.00010323524475097656
6,30,0.3,0.0001430511474609375
7,30,0.5,0.00015592575073242188
8,30,0.7,0.0002238750457763672
9,30,0.9,0.00011515617370605469
10,40,0.1,0.00010895729064941406
11,40,0.3,0.00012803077697753906
12,40,0.5,0.0001239776611328125
13,40,0.7,0.0001308917999267578
14,40,0.9,0.00013589859008789062
15,50,0.1,0.0001800060272216797
16,50,0.3,0.00012969970703125
17,50,0.5,0.00015592575073242188
18,50,0.7,0.00018310546875
19,50,0.9,0.00021982192993164062
20,60,0.1,0.0001399517059326172
21,60,0.3,0.0001857280731201172
22,60,0.5,0.0002288818359375
23,60,0.7,0.0002658367156982422
24,60,0.9,0.0002999305725097656
25,70,0.1,0.00018906593322753906
26,70,0.3,0.0002491474151611328
27,70,0.5,0.0003159046173095703
28,70,0.7,0.00034689903259277344
29,70,0.9,0.00039196014404296875
30,80,0.1,0.00024509429931640625
31,80,0.3,0.0003273487091064453
32,80,0.5,0.0003802776336669922
33,80,0.7,0.00045180320739746094
34,80,0.9,0.0005049705505371094
35,90,0.1,0.0003018379211425781
36,90,0.3,0.0003960132598876953
37,90,0.5,0.0004858970642089844
38,90,0.7,0.0005712509155273438
39,90,0.9,0.0006420612335205078
40,100,0.1,0.0003681182861328125
41,100,0.3,0.00047206878662109375
42,100,0.5,0.0006000995635986328
43,100,0.7,0.0006971359252929688
44,100,0.9,0.0007879734039306641
45,120,0.1,0.0005252361297607422
46,120,0.3,0.0007061958312988281
47,120,0.5,0.0008447170257568359
48,120,0.7,0.0010213851928710938
49,120,0.9,0.0011730194091796875
50,20,0.1,4.00543212890625e-05
51,20,0.1,2.3126602172851562e-05
52,20,0.1,2.3126602172851562e-05
53,20,0.1,2.4080276489257812e-05
54,20,0.1,2.288818359375e-05
55,20,0.1,2.384185791015625e-05
56,20,0.1,2.288818359375e-05
57,20,0.1,2.3126602172851562e-05
58,20,0.1,2.288818359375e-05
59,20,0.1,2.193450927734375e-05
60,20,0.1,2.8848648071289062e-05
61,20,0.1,2.2172927856445312e-05
62,20,0.1,2.3126602172851562e-05
63,20,0.1,2.3126602172851562e-05
64,20,0.1,2.3126602172851562e-05
65,20,0.1,2.288818359375e-05
66,20,0.1,2.2172927856445312e-05
67,20,0.1,2.3126602172851562e-05
68,20,0.1,2.2649765014648438e-05
69,20,0.1,2.4080276489257812e-05
70,20,0.3,3.0040740966796875e-05
71,20,0.3,2.574920654296875e-05
72,20,0.3,2.7894973754882812e-05
73,20,0.3,4.1961669921875e-05
74,20,0.3,8.225440979003906e-05
75,20,0.3,3.0040740966796875e-05
76,20,0.3,3.0994415283203125e-05
77,20,0.3,2.7179718017578125e-05
78,20,0.3,2.9087066650390625e-05
79,20,0.3,3.0994415283203125e-05
80,20,0.3,2.7894973754882812e-05
81,20,0.3,2.7894973754882812e-05
82,20,0.3,2.8133392333984375e-05
83,20,0.3,2.8133392333984375e-05
84,20,0.3,2.7179718017578125e-05
85,20,0.3,3.719329833984375e-05
86,20,0.3,3.719329833984375e-05
87,20,0.3,2.9087066650390625e-05
88,20,0.3,2.7894973754882812e-05
89,20,0.3,2.8848648071289062e-05
90,20,0.5,3.314018249511719e-05
91,20,0.5,3.1948089599609375e-05
92,20,0.5,3.1948089599609375e-05
93,20,0.5,3.600120544433594e-05
94,20,0.5,3.0994415283203125e-05
95,20,0.5,3.504753112792969e-05
96,20,0.5,3.0040740966796875e-05
97,20,0.5,3.409385681152344e-05
98,20,0.5,3.790855407714844e-05
99,20,0.5,3.504753112792969e-05
100,20,0.5,3.2901763916015625e-05
101,20,0.5,3.4809112548828125e-05
102,20,0.5,3.1948089599609375e-05
103,20,0.5,3.2901763916015625e-05
104,20,0.5,3.409385681152344e-05
105,20,0.5,3.1948089599609375e-05
106,20,0.5,3.314018249511719e-05
107,20,0.5,3.314018249511719e-05
108,20,0.5,3.314018249511719e-05
109,20,0.5,3.0040740966796875e-05
110,20,0.7,3.814697265625e-05
111,20,0.7,3.62396240234375e-05
112,20,0.7,3.886222839355469e-05
113,20,0.7,4.124641418457031e-05
114,20,0.7,3.933906555175781e-05
115,20,0.7,3.600120544433594e-05
116,20,0.7,3.695487976074219e-05
117,20,0.7,3.719329833984375e-05
118,20,0.7,3.910064697265625e-05
119,20,0.7,3.886222839355469e-05
120,20,0.7,3.695487976074219e-05
121,20,0.7,3.790855407714844e-05
122,20,0.7,3.719329833984375e-05
123,20,0.7,3.814697265625e-05
124,20,0.7,4.100799560546875e-05
125,20,0.7,4.00543212890625e-05
126,20,0.7,3.695487976074219e-05
127,20,0.7,4.410743713378906e-05
128,20,0.7,3.790855407714844e-05
129,20,0.7,3.695487976074219e-05
130,20,0.9,4.100799560546875e-05
131,20,0.9,4.506111145019531e-05
132,20,0.9,4.8160552978515625e-05
133,20,0.9,4.792213439941406e-05
134,20,0.9,5.0067901611328125e-05
135,20,0.9,7.200241088867188e-05
136,20,0.9,8.487701416015625e-05
137,20,0.9,5.2928924560546875e-05
138,20,0.9,5.316734313964844e-05
139,20,0.9,4.887580871582031e-05
140,20,0.9,4.315376281738281e-05
141,20,0.9,4.1961669921875e-05
142,20,0.9,4.7206878662109375e-05
143,20,0.9,4.887580871582031e-05
144,20,0.9,4.291534423828125e-05
145,20,0.9,4.315376281738281e-05
146,20,0.9,4.1961669921875e-05
147,20,0.9,4.00543212890625e-05
148,20,0.9,4.100799560546875e-05
149,20,0.9,4.00543212890625e-05
150,30,0.1,5.316734313964844e-05
151,30,0.1,4.315376281738281e-05
152,30,0.1,4.9114227294921875e-05
153,30,0.1,4.1961669921875e-05
154,30,0.1,4.291534423828125e-05
155,30,0.1,4.1961669921875e-05
156,30,0.1,4.410743713378906e-05
157,30,0.1,4.291534423828125e-05
158,30,0.1,4.38690185546875e-05
159,30,0.1,4.363059997558594e-05
160,30,0.1,4.315376281738281e-05
161,30,0.1,4.291534423828125e-05
162,30,0.1,4.220008850097656e-05
163,30,0.1,4.6253204345703125e-05
164,30,0.1,4.315376281738281e-05
165,30,0.1,4.38690185546875e-05
166,30,0.1,4.315376281738281e-05
167,30,0.1,4.1961669921875e-05
168,30,0.1,4.1961669921875e-05
169,30,0.1,4.291534423828125e-05
170,30,0.3,5.888938903808594e-05
171,30,0.3,6.198883056640625e-05
172,30,0.3,5.1975250244140625e-05
173,30,0.3,5.1975250244140625e-05
174,30,0.3,5.221366882324219e-05
175,30,0.3,5.316734313964844e-05
176,30,0.3,5.2928924560546875e-05
177,30,0.3,7.104873657226562e-05
178,30,0.3,5.698204040527344e-05
179,30,0.3,5.2928924560546875e-05
180,30,0.3,5.1975250244140625e-05
181,30,0.3,5.1975250244140625e-05
182,30,0.3,5.3882598876953125e-05
183,30,0.3,5.078315734863281e-05
184,30,0.3,6.914138793945312e-05
185,30,0.3,5.1021575927734375e-05
186,30,0.3,5.078315734863281e-05
187,30,0.3,5.3882598876953125e-05
188,30,0.3,5.2928924560546875e-05
189,30,0.3,5.2928924560546875e-05
190,30,0.5,6.008148193359375e-05
191,30,0.5,6.103515625e-05
192,30,0.5,5.984306335449219e-05
193,30,0.5,6.29425048828125e-05
